,TIME,GEO,CITIZEN,SEX,AGE,UNIT,Value
337,2008,Lithuania,Total,Unknown,From 14 to 17 years,Person,
338,2008,Lithuania,Total,Unknown,From 18 to 34 years,Person,
339,2008,Lithuania,Total,Unknown,35 years or over,Person,
340,2008,Luxembourg,Total,Total,Total,Person,
341,2008,Luxembourg,Total,Total,Less than 14 years,Person,
342,2008,Luxembourg,Total,Total,From 14 to 17 years,Person,
343,2008,Luxembourg,Total,Total,From 18 to 34 years,Person,
344,2008,Luxembourg,Total,Total,35 years or over,Person,
345,2008,Luxembourg,Total,Males,Total,Person,
346,2008,Luxembourg,Total,Males,Less than 14 years,Person,
347,2008,Luxembourg,Total,Males,From 14 to 17 years,Person,
348,2008,Luxembourg,Total,Males,From 18 to 34 years,Person,
349,2008,Luxembourg,Total,Males,35 years or over,Person,
350,2008,Luxembourg,Total,Females,Total,Person,
351,2008,Luxembourg,Total,Females,Less than 14 years,Person,
352,2008,Luxembourg,Total,Females,From 14 to 17 years,Person,
353,2008,Luxembourg,Total,Females,From 18 to 34 years,Person,
354,2008,Luxembourg,Total,Females,35 years or over,Person,
355,2008,Luxembourg,Total,Unknown,Total,Person,
356,2008,Luxembourg,Total,Unknown,Less than 14 years,Person,
357,2008,Luxembourg,Total,Unknown,From 14 to 17 years,Person,
358,2008,Luxembourg,Total,Unknown,From 18 to 34 years,Person,
359,2008,Luxembourg,Total,Unknown,35 years or over,Person,
360,2008,Hungary,Total,Total,Total,Person,1875.0
361,2008,Hungary,Total,Total,Less than 14 years,Person,10.0
362,2008,Hungary,Total,Total,From 14 to 17 years,Person,15.0
363,2008,Hungary,Total,Total,From 18 to 34 years,Person,885.0
364,2008,Hungary,Total,Total,35 years or over,Person,965.0
365,2008,Hungary,Total,Males,Total,Person,1335.0
366,2008,Hungary,Total,Males,Less than 14 years,Person,10.0
367,2008,Hungary,Total,Males,From 14 to 17 years,Person,5.0
368,2008,Hungary,Total,Males,From 18 to 34 years,Person,640.0
369,2008,Hungary,Total,Males,35 years or over,Person,675.0
370,2008,Hungary,Total,Females,Total,Person,540.0
371,2008,Hungary,Total,Females,Less than 14 years,Person,5.0
372,2008,Hungary,Total,Females,From 14 to 17 years,Person,5.0
373,2008,Hungary,Total,Females,From 18 to 34 years,Person,240.0
374,2008,Hungary,Total,Females,35 years or over,Person,290.0
375,2008,Hungary,Total,Unknown,Total,Person,
